scenario,task_count,model,workers,label,repeat,duration_seconds,throughput_tasks_per_second,peak_extra_python_threads,peak_rss_delta_mb,peak_tracemalloc_mb,completed_tasks
tcp_io,100,asyncio,,asyncio-tcp,1,0.13012420000086422,768.4965594357994,0,7.65234375,6.891741752624512,100
tcp_io,100,asyncio,,asyncio-tcp,2,0.16830800000025192,594.1488223961447,0,5.80859375,6.798290252685547,100
tcp_io,100,asyncio,,asyncio-tcp,3,0.14735579999978654,678.6295483458734,0,5.83203125,6.803116798400879,100
tcp_io,100,asyncio,,asyncio-tcp,4,0.20583579999947688,485.8241374933522,0,5.8828125,6.843997001647949,100
tcp_io,100,asyncio,,asyncio-tcp,5,0.1579700000002049,633.0315882754339,0,2.05078125,6.790068626403809,100
tcp_io,100,threads,50,threads-tcp-50,1,0.16894040000261157,591.924726107279,50,4.20703125,3.3468809127807617,100
tcp_io,100,threads,50,threads-tcp-50,2,0.1525718999982928,655.4286864168236,45,3.4453125,3.2149906158447266,100
tcp_io,100,threads,50,threads-tcp-50,3,0.12462860000232467,802.3840434549912,50,2.9765625,3.1698408126831055,100
tcp_io,100,threads,50,threads-tcp-50,4,0.12156559999857564,822.6011305926321,48,3.328125,3.017746925354004,100
tcp_io,100,threads,50,threads-tcp-50,5,0.1350800000000163,740.30204323355,50,0.8046875,3.089984893798828,100
tcp_io,100,threads,100,threads-tcp-100,1,0.1376589999999851,726.4327069062743,79,4.62109375,3.8546876907348633,100
tcp_io,100,threads,100,threads-tcp-100,2,0.13085740000315127,764.1906380349283,71,4.5,3.008707046508789,100
tcp_io,100,threads,100,threads-tcp-100,3,0.13070499999957974,765.081672470996,78,4.7734375,4.216658592224121,100
tcp_io,100,threads,100,threads-tcp-100,4,0.12758129999929224,783.8139288481522,50,3.56640625,2.9467954635620117,100
tcp_io,100,threads,100,threads-tcp-100,5,0.12959069999851636,771.6603120528315,65,3.625,3.129166603088379,100
tcp_io,100,threads,200,threads-tcp-200,1,0.11607229999935953,861.5319934260955,69,3.19921875,2.9245567321777344,100
tcp_io,100,threads,200,threads-tcp-200,2,0.13233649999892805,755.6494240123475,75,3.95703125,3.0867605209350586,100
tcp_io,100,threads,200,threads-tcp-200,3,0.11378879999756464,878.8211142233704,63,3.78515625,3.709832191467285,100
tcp_io,100,threads,200,threads-tcp-200,4,0.12359610000203247,809.0870181045806,68,4.296875,3.0510730743408203,100
tcp_io,100,threads,200,threads-tcp-200,5,0.13901480000276933,719.3478679824586,75,5.015625,4.272971153259277,100
tcp_io,500,asyncio,,asyncio-tcp,1,0.5591363999992609,894.2361828002272,0,6.05859375,6.801446914672852,500
tcp_io,500,asyncio,,asyncio-tcp,2,0.5678771999992023,880.4720457181629,0,5.8828125,6.802499771118164,500
tcp_io,500,asyncio,,asyncio-tcp,3,0.5630349999992177,888.0442601271586,0,6.01953125,6.8008832931518555,500
tcp_io,500,asyncio,,asyncio-tcp,4,0.5599894000006316,892.8740436862485,0,5.83984375,6.7989606857299805,500
tcp_io,500,asyncio,,asyncio-tcp,5,0.5357360999987577,933.2953295496783,0,5.79296875,6.798537254333496,500
tcp_io,500,threads,50,threads-tcp-50,1,0.41468370000075083,1205.7382530325997,50,4.0390625,3.6595630645751953,500
tcp_io,500,threads,50,threads-tcp-50,2,0.4624678000000131,1081.1563529395687,50,3.2109375,3.6608848571777344,500
tcp_io,500,threads,50,threads-tcp-50,3,0.39507830000002286,1265.5719132130796,50,2.9921875,3.665670394897461,500
tcp_io,500,threads,50,threads-tcp-50,4,0.41761480000059237,1197.27557548078,50,3.640625,3.6632423400878906,500
tcp_io,500,threads,50,threads-tcp-50,5,0.41277029999764636,1211.3274622782963,50,0.9609375,3.6612606048583984,500
tcp_io,500,threads,100,threads-tcp-100,1,0.3577975999978662,1397.4381046798019,100,7.38671875,6.199907302856445,500
tcp_io,500,threads,100,threads-tcp-100,2,0.3393796999989718,1473.2760975435917,100,8.37109375,6.309744834899902,500
tcp_io,500,threads,100,threads-tcp-100,3,0.34686059999876306,1441.501283229583,100,9.51171875,7.225576400756836,500
tcp_io,500,threads,100,threads-tcp-100,4,0.35041549999732524,1426.8775211251116,99,7.53515625,6.312439918518066,500
tcp_io,500,threads,100,threads-tcp-100,5,0.35940320000008796,1391.1951813447338,100,8.6875,6.717676162719727,500
tcp_io,500,threads,200,threads-tcp-200,1,0.3170868999986851,1576.8547991168143,170,10.0234375,6.053167343139648,500
tcp_io,500,threads,200,threads-tcp-200,2,0.331585100000666,1507.908527853018,179,11.91796875,8.498820304870605,500
tcp_io,500,threads,200,threads-tcp-200,3,0.3055342000006931,1636.478011295841,165,8.7734375,6.3719987869262695,500
tcp_io,500,threads,200,threads-tcp-200,4,0.279483700000128,1789.0130980796769,165,10.90234375,8.383939743041992,500
tcp_io,500,threads,200,threads-tcp-200,5,0.32425359999979264,1542.0029261057387,167,10.3125,6.417562484741211,500
tcp_io,1000,asyncio,,asyncio-tcp,1,1.0842738000028476,922.276273757951,0,6.06640625,6.805606842041016,1000
tcp_io,1000,asyncio,,asyncio-tcp,2,1.0767697999981465,928.7036096310663,0,6.0234375,6.804220199584961,1000
tcp_io,1000,asyncio,,asyncio-tcp,3,1.0644001000000571,939.49634164817,0,6.03515625,6.799501419067383,1000
tcp_io,1000,asyncio,,asyncio-tcp,4,1.0378649000012956,963.5165424697874,0,6.04296875,6.813276290893555,1000
tcp_io,1000,asyncio,,asyncio-tcp,5,1.052411900000152,950.1983016344225,0,4.0,6.807413101196289,1000
tcp_io,1000,threads,50,threads-tcp-50,1,0.8808754999990924,1135.2342073323987,50,4.21875,3.665585517883301,1000
tcp_io,1000,threads,50,threads-tcp-50,2,0.9497727999987546,1052.8833843223465,50,3.0703125,3.699557304382324,1000
tcp_io,1000,threads,50,threads-tcp-50,3,0.9335523999980069,1071.1771508510235,50,3.03515625,3.663638114929199,1000
tcp_io,1000,threads,50,threads-tcp-50,4,0.8739244999997027,1144.2636062958989,50,3.03125,3.6598949432373047,1000
tcp_io,1000,threads,50,threads-tcp-50,5,0.8422124999997322,1187.348798551812,50,3.02734375,3.664191246032715,1000
tcp_io,1000,threads,100,threads-tcp-100,1,0.6146017999999458,1627.0697547584277,96,7.6328125,6.666841506958008,1000
tcp_io,1000,threads,100,threads-tcp-100,2,0.5747289000028104,1739.9507837436224,100,9.16015625,7.360957145690918,1000
tcp_io,1000,threads,100,threads-tcp-100,3,0.5862780999996176,1705.675173608996,100,8.59375,7.351279258728027,1000
tcp_io,1000,threads,100,threads-tcp-100,4,0.5472403000021586,1827.3507999978353,100,8.515625,7.351617813110352,1000
tcp_io,1000,threads,100,threads-tcp-100,5,0.5678501000002143,1761.028130486589,100,8.5625,7.352388381958008,1000
tcp_io,1000,threads,200,threads-tcp-200,1,0.5359061999988626,1865.9981914785133,198,16.58984375,11.73520278930664,1000
tcp_io,1000,threads,200,threads-tcp-200,2,0.5125086999978521,1951.1863896245877,200,13.37890625,9.158774375915527,1000
tcp_io,1000,threads,200,threads-tcp-200,3,0.5181283999991138,1930.0235231300012,199,11.6328125,7.277314186096191,1000
tcp_io,1000,threads,200,threads-tcp-200,4,0.512167100001534,1952.4877720513578,192,12.81640625,8.6080904006958,1000
tcp_io,1000,threads,200,threads-tcp-200,5,0.48605179999867687,2057.3938827152215,200,10.80859375,7.723855018615723,1000
tcp_io,3000,asyncio,,asyncio-tcp,1,2.9945776000022306,1001.8107395172412,0,5.45703125,6.806889533996582,3000
tcp_io,3000,asyncio,,asyncio-tcp,2,2.8985170000014477,1035.012042364596,0,4.5859375,6.806256294250488,3000
tcp_io,3000,asyncio,,asyncio-tcp,3,2.897900200001459,1035.2323382283798,0,6.18359375,6.802063941955566,3000
tcp_io,3000,asyncio,,asyncio-tcp,4,2.8833746000018436,1040.4475367155144,0,4.3828125,6.800830841064453,3000
tcp_io,3000,asyncio,,asyncio-tcp,5,2.9503919999988284,1016.8140369148206,0,5.01171875,6.801633834838867,3000
tcp_io,3000,threads,50,threads-tcp-50,1,2.630455200000142,1140.4870153271715,50,3.61328125,3.6556100845336914,3000
tcp_io,3000,threads,50,threads-tcp-50,2,2.5684829999991052,1168.0046159546491,50,3.58203125,3.655402183532715,3000
tcp_io,3000,threads,50,threads-tcp-50,3,2.574089900001127,1165.4604604130907,50,3.17578125,3.6595001220703125,3000
tcp_io,3000,threads,50,threads-tcp-50,4,2.5612125000006927,1171.3202243075061,50,3.828125,3.66805362701416,3000
tcp_io,3000,threads,50,threads-tcp-50,5,2.5214407999992545,1189.7959293753345,50,3.88671875,3.6594667434692383,3000
tcp_io,3000,threads,100,threads-tcp-100,1,1.5419585999989067,1945.5775271801247,100,8.79296875,7.349555015563965,3000
tcp_io,3000,threads,100,threads-tcp-100,2,1.5718785999997635,1908.5443366939733,100,8.71484375,7.353057861328125,3000
tcp_io,3000,threads,100,threads-tcp-100,3,1.5561597000014444,1927.8227035420691,100,8.69921875,7.344968795776367,3000
tcp_io,3000,threads,100,threads-tcp-100,4,1.5410933999992267,1946.6698124860604,100,8.61328125,7.34881591796875,3000
tcp_io,3000,threads,100,threads-tcp-100,5,1.5814852000003157,1896.9510432341708,100,8.71484375,7.352675437927246,3000
tcp_io,3000,threads,200,threads-tcp-200,1,1.1460939999997208,2617.5863410860984,200,19.74609375,14.641538619995117,3000
tcp_io,3000,threads,200,threads-tcp-200,2,1.097348699997383,2733.8620804919665,200,17.890625,13.446436882019043,3000
tcp_io,3000,threads,200,threads-tcp-200,3,1.2493883999995887,2401.174846829847,200,17.203125,13.70660400390625,3000
tcp_io,3000,threads,200,threads-tcp-200,4,1.114502899999934,2691.783036186068,200,17.77734375,14.712677955627441,3000
tcp_io,3000,threads,200,threads-tcp-200,5,1.0657283000000461,2814.976387508777,200,18.98046875,14.579657554626465,3000
tcp_io,5000,asyncio,,asyncio-tcp,1,4.765150899998844,1049.2847141527486,0,5.4921875,6.808873176574707,5000
tcp_io,5000,asyncio,,asyncio-tcp,2,4.881185300000652,1024.3413623324916,0,5.2421875,6.802788734436035,5000
tcp_io,5000,asyncio,,asyncio-tcp,3,4.764662800000224,1049.3922046277366,0,4.328125,6.808858871459961,5000
tcp_io,5000,asyncio,,asyncio-tcp,4,4.811077499998646,1039.2682304538655,0,5.1953125,6.809178352355957,5000
tcp_io,5000,asyncio,,asyncio-tcp,5,4.901883700000326,1020.0160399561637,0,5.53515625,6.804161071777344,5000
tcp_io,5000,threads,50,threads-tcp-50,1,4.346359600000142,1150.388016674883,50,3.2109375,3.6595382690429688,5000
tcp_io,5000,threads,50,threads-tcp-50,2,4.339368200002355,1152.241471465198,50,1.22265625,3.6570825576782227,5000
tcp_io,5000,threads,50,threads-tcp-50,3,4.323069999998552,1156.5854820767822,50,0.69921875,3.658501625061035,5000
tcp_io,5000,threads,50,threads-tcp-50,4,4.564927700001135,1095.307599285473,50,3.25,3.7189340591430664,5000
tcp_io,5000,threads,50,threads-tcp-50,5,4.179756699999416,1196.2418769496078,50,3.5234375,3.671135902404785,5000
tcp_io,5000,threads,100,threads-tcp-100,1,2.6841929000001983,1862.7573301455461,100,8.83203125,7.392204284667969,5000
tcp_io,5000,threads,100,threads-tcp-100,2,2.5285616000001028,1977.4088161426625,100,8.7109375,7.349639892578125,5000
tcp_io,5000,threads,100,threads-tcp-100,3,2.6246589999973367,1905.0093745530653,100,8.828125,7.354085922241211,5000
tcp_io,5000,threads,100,threads-tcp-100,4,2.4576090999980806,2034.497674997991,100,8.8671875,7.3454132080078125,5000
tcp_io,5000,threads,100,threads-tcp-100,5,2.5794375000004948,1938.4071139537364,100,8.80078125,7.353293418884277,5000
tcp_io,5000,threads,200,threads-tcp-200,1,1.6240270000016608,3078.766547597353,200,17.58984375,14.783681869506836,5000
tcp_io,5000,threads,200,threads-tcp-200,2,1.4125448999984656,3539.710489914644,200,17.35546875,14.732027053833008,5000
tcp_io,5000,threads,200,threads-tcp-200,3,1.884378499999002,2653.3947399647404,200,18.6953125,14.780876159667969,5000
tcp_io,5000,threads,200,threads-tcp-200,4,1.5176772000013443,3294.508212942496,200,16.8671875,14.732781410217285,5000
tcp_io,5000,threads,200,threads-tcp-200,5,1.6449501999995846,3039.605697486321,200,17.9765625,14.709025382995605,5000
cpu_bound,50,asyncio,,asyncio-cpu,1,0.5299911000001885,94.34120686174205,0,0.01953125,0.044266700744628906,50
cpu_bound,50,asyncio,,asyncio-cpu,2,0.5230289999999513,95.5969936657521,0,0.01953125,0.044297218322753906,50
cpu_bound,50,asyncio,,asyncio-cpu,3,0.514226499999495,97.23341756997958,0,0.01953125,0.044297218322753906,50
cpu_bound,50,asyncio,,asyncio-cpu,4,0.5364917000006244,93.19808675500815,0,0.01953125,0.044449806213378906,50
cpu_bound,50,asyncio,,asyncio-cpu,5,0.5375573999990593,93.01332285647543,0,0.01953125,0.044266700744628906,50
cpu_bound,50,threads,50,threads-cpu-50,1,0.4923386999980721,101.556103552688,10,0.2265625,0.10822010040283203,50
cpu_bound,50,threads,50,threads-cpu-50,2,0.5051736999994318,98.97585721516428,10,0.2109375,0.10820484161376953,50
cpu_bound,50,threads,50,threads-cpu-50,3,0.5316095999987738,94.05398247156434,10,0.21484375,0.10889148712158203,50
cpu_bound,50,threads,50,threads-cpu-50,4,0.5150936999998521,97.0697176067468,10,0.21484375,0.108642578125,50
cpu_bound,50,threads,50,threads-cpu-50,5,0.508981800001493,98.23533965232812,9,0.1953125,0.10596084594726562,50
cpu_bound,50,threads,100,threads-cpu-100,1,0.5551013000003877,90.07364962028566,11,0.234375,0.11102581024169922,50
cpu_bound,50,threads,100,threads-cpu-100,2,0.5317530000029365,94.02861854982274,11,0.234375,0.11143779754638672,50
cpu_bound,50,threads,100,threads-cpu-100,3,0.5098011999980372,98.07744665997747,10,0.19921875,0.10797119140625,50
cpu_bound,50,threads,100,threads-cpu-100,4,0.5261013999988791,95.03871306958418,10,0.21484375,0.10846710205078125,50
cpu_bound,50,threads,100,threads-cpu-100,5,0.4940698999998858,101.20025526754728,9,0.1953125,0.10501670837402344,50
cpu_bound,50,threads,200,threads-cpu-200,1,0.504636899997422,99.0811413122097,10,0.21484375,0.10992717742919922,50
cpu_bound,50,threads,200,threads-cpu-200,2,0.5237741000019014,95.46100122136336,11,0.234375,0.11103343963623047,50
cpu_bound,50,threads,200,threads-cpu-200,3,0.5054694999998901,98.91793669056366,10,0.2109375,0.10957622528076172,50
cpu_bound,50,threads,200,threads-cpu-200,4,0.5096785000023374,98.10105782325662,11,0.234375,0.11178112030029297,50
cpu_bound,50,threads,200,threads-cpu-200,5,0.5037646999990102,99.25268682005357,9,0.1953125,0.10644340515136719,50
cpu_bound,100,asyncio,,asyncio-cpu,1,1.063433300001634,94.03504667368075,0,0.01953125,0.07701396942138672,100
cpu_bound,100,asyncio,,asyncio-cpu,2,1.073253599999589,93.1746234068428,0,0.01953125,0.07716655731201172,100
cpu_bound,100,asyncio,,asyncio-cpu,3,1.0271273999969708,97.35890601330946,0,0.00390625,0.07716655731201172,100
cpu_bound,100,asyncio,,asyncio-cpu,4,1.0373840000029304,96.39631997381638,0,0.01953125,0.07701396942138672,100
cpu_bound,100,asyncio,,asyncio-cpu,5,1.0122225000013714,98.79250856394174,0,0.01953125,0.07708263397216797,100
cpu_bound,100,threads,50,threads-cpu-50,1,1.0129283999995096,98.72366102090574,16,0.3125,0.20461368560791016,100
cpu_bound,100,threads,50,threads-cpu-50,2,0.9929210000009334,100.71294695137478,18,0.37109375,0.21236896514892578,100
cpu_bound,100,threads,50,threads-cpu-50,3,0.9588862999989942,104.28765120547128,16,0.31640625,0.2057809829711914,100
cpu_bound,100,threads,50,threads-cpu-50,4,0.9817017999994277,101.86392649993948,15,0.30859375,0.20238399505615234,100
cpu_bound,100,threads,50,threads-cpu-50,5,0.9616454999995767,103.98842400868513,15,0.296875,0.2028951644897461,100
cpu_bound,100,threads,100,threads-cpu-100,1,1.0470337000006111,95.50790963074219,16,0.33203125,0.20560646057128906,100
cpu_bound,100,threads,100,threads-cpu-100,2,0.9844537999997556,101.57917009414238,18,0.37109375,0.21129608154296875,100
cpu_bound,100,threads,100,threads-cpu-100,3,1.0134125000004133,98.67650142460175,17,0.3515625,0.20892047882080078,100
cpu_bound,100,threads,100,threads-cpu-100,4,0.9810236000012083,101.93434694117128,16,0.32421875,0.20576190948486328,100
cpu_bound,100,threads,100,threads-cpu-100,5,1.0001001000018732,99.98999100171342,14,0.29296875,0.20048141479492188,100
cpu_bound,100,threads,200,threads-cpu-200,1,0.9827889000007417,101.75125095524027,16,0.33203125,0.2054157257080078,100
cpu_bound,100,threads,200,threads-cpu-200,2,0.9869065999992017,101.326711159983,14,0.29296875,0.19938278198242188,100
cpu_bound,100,threads,200,threads-cpu-200,3,0.9679943999981333,103.30638276439703,14,0.29296875,0.19912338256835938,100
cpu_bound,100,threads,200,threads-cpu-200,4,1.0012109999988752,99.87904647483133,18,0.37109375,0.2113494873046875,100
cpu_bound,100,threads,200,threads-cpu-200,5,0.9775964000000386,102.29170238351539,17,0.3515625,0.20834064483642578,100
cpu_bound,200,asyncio,,asyncio-cpu,1,2.105939400000352,94.96949437384882,0,0.00390625,0.15978527069091797,200
cpu_bound,200,asyncio,,asyncio-cpu,2,2.076824600000691,96.30086238382069,0,0.01953125,0.15643978118896484,200
cpu_bound,200,asyncio,,asyncio-cpu,3,2.0175510000008217,99.13008394827122,0,0.01953125,0.15663814544677734,200
cpu_bound,200,asyncio,,asyncio-cpu,4,2.0556796999990183,97.29142142138949,0,0.01953125,0.15621089935302734,200
cpu_bound,200,asyncio,,asyncio-cpu,5,2.0975175999992643,95.35080897536695,0,0.00390625,0.1563253402709961,200
cpu_bound,200,threads,50,threads-cpu-50,1,1.9627220000002126,101.8993010726829,24,0.53125,0.40006351470947266,200
cpu_bound,200,threads,50,threads-cpu-50,2,1.995177299999341,100.2417178664102,23,0.46875,0.3852224349975586,200
cpu_bound,200,threads,50,threads-cpu-50,3,2.002285300000949,99.8858654158352,23,0.46875,0.3846578598022461,200
cpu_bound,200,threads,50,threads-cpu-50,4,1.9914516999997431,100.42924967752208,22,0.44921875,0.3842134475708008,200
cpu_bound,200,threads,50,threads-cpu-50,5,1.97335430000021,101.35027450467395,21,0.4296875,0.3794584274291992,200
cpu_bound,200,threads,100,threads-cpu-100,1,2.0615348999999696,97.01509297756877,24,0.48828125,0.3912782669067383,200
cpu_bound,200,threads,100,threads-cpu-100,2,2.0161445000012463,99.19923894337751,25,0.5234375,0.39246082305908203,200
cpu_bound,200,threads,100,threads-cpu-100,3,1.9928467999998247,100.35894379839814,22,0.4609375,0.3831977844238281,200
cpu_bound,200,threads,100,threads-cpu-100,4,1.9775208000028215,101.13673646300694,22,0.44921875,0.3842658996582031,200
cpu_bound,200,threads,100,threads-cpu-100,5,1.9590852000001178,102.08846455477688,25,0.5234375,0.3946533203125,200
cpu_bound,200,threads,200,threads-cpu-200,1,1.9645539999983157,101.80427720498977,24,0.5,0.3879108428955078,200
cpu_bound,200,threads,200,threads-cpu-200,2,1.9947289999981876,100.2642464215348,23,0.46875,0.38751888275146484,200
cpu_bound,200,threads,200,threads-cpu-200,3,2.0633182999990822,96.93123935366103,24,0.48828125,0.38849830627441406,200
cpu_bound,200,threads,200,threads-cpu-200,4,1.965294099998573,101.76593925567946,21,0.4296875,0.3823404312133789,200
cpu_bound,200,threads,200,threads-cpu-200,5,2.0293084000004455,98.55574441024149,23,0.46875,0.38510799407958984,200
